N.;Comune;Località;Titolare Concessione;Tipologia concessoria (L.R. 13/2007 e R.R. n. 11/2009);N. Concess. Data rilascio;Denominazione;Superficie scoperta mq.;Opere facile rimozione mq.;Opere difficile rimozione mq.;Pertinenze  mq.;Totale superficie coperta mq.;Fronte mare metri lineari;Specchio acqueo mq.
1;ANZIO;CINCINNATO;ANEDDA ANGELA;SB;Conc. N. 12/2013;STAB. LA SCIALUPPA II;3219,53;422,47;;;422,47;200;
2;ANZIO;LAVINIO;IL FARAONE SAS;SB;Conc. N. 127/2010;STAB. IL FARAONE;3528,67;402,9;74,43;;477,33;108;
3;ANZIO;LIDO DEI GIGLI;CONSORZIO LIDO DEI GIGLI;SB;Conc. N. 131/2010;CONSORZIO LIDO DEI GIGLI;5342,12;10,89;75,69;171,3;257,88;98;
4;ANZIO;LAVINIO;BARONE ARCANGELO;SB;Conc. N. 107/2009;STAB. LA CAPANNINA;3891,63;1643,69;3,39;;1647,08;60;
5;ANZIO;LAVINIO;BAGNI STELLA SAS;SB;Conc. N. 119/2010;STAB. BAGNI STELLA;3250,63;738,19;17,12;;755,31;75;
6;ANZIO;LAVINIO;BRAVI MASSIMILIANO;SB;Conc. N. 120/2010;STAB. BAGNI BRAVI;6678,75;314,55;26,7;;341,25;185;
7;ANZIO;ANZIO COLONIA;MARINARO 84 SAS;SB;Conc. N. 122/2010;STAB. DAR MARINARO;2540,35;56,95;171,7;;228,65;105;
8;ANZIO;LIDO DEI PINI;ISTITUTO SUORE FRANCESCANE MISS. SACRO CUORE;SR;Conc. N. 135/2010;ISTITUTO SUORE FRANCESCANE MISS. SACRO CUORE;2500;;;;;50;
9;ANZIO;LAVINIO;CAPOBIANCO ANTONELLA;SB;Conc. N. 125/2010;STAB. LA LUCCIOLA;5041,7;1053,55;34,75;;1088,3;130;
10;ANZIO;ANZIO CENTRO;TURIDDU SNC;SB;Conc. N. 118/2010;STAB. BAGNI TURIDDU;1626,89;288,56;141,88;225,17;655,61;27;
11;ANZIO;CINCINNATO;CIRCOLO NAUTICO CINCINNATO;ARS;Conc. N. 09/2012;CIRCOLO NAUTICO CINCINNATO;1881;;;;;200;
12;ANZIO;LAVINIO;ARCOBALENO SAS;SB;Conc. N. 124/2010;STAB. ARCOBALENO;5427,42;232,88;;;232,88;140;
13;ANZIO;LAVINIO;ISTITUTO FIGLI SACRO CUORE DI GESU';SR;Conc. N. 02/2015;ISTITUTO FIGLI SACRO CUORE DI GESU';341;;16,46;;16,46;24,3;
14;ANZIO;ANZIO CENTRO;FANCIULLA D'ANZIO SRL;SB;Conc. N. 115/2010;STAB. FANCIULLA D'ANZIO;910,45;183,35;20,85;;204,2;80;
15;ANZIO;LIDO MARECHIARO;TORTUGA SNC;SB;Conc. N. 130/2010;STAB. TORTUGA;1931,32;181,1;;;181,1;110;
16;ANZIO;LAVINIO;L'ATOLLO SAS;SB;Conc. N. 129/2010;STAB. L'ATOLLO;5059,16;1160,42;20,42;;1180,84;130;
17;ANZIO;ANZIO CENTRO;TIRRENA SRL;SB;Conc. N. 138/2011;STAB. TIRRENA;47214,8;1625;2901,5;888,7;5415,2;702;
18;ANZIO;LAVINIO;CRISCUOLO MAURIZIO;SB;Conc. N. 101/2009;STAB. JOLLY LIDO;2770,97;893,46;3,39;;896,85;100;
19;ANZIO;ANZIO COLONIA;COZZOLINO ADA;SB;Conc. N. 112/2009;STAB. PILONE 2;2107,85;353,79;;;353,79;80;
20;ANZIO;LAVINIO;TRITONE SAS;SB;Conc. N. 100/2008;STAB. TRITONE;10395;375;;;375;220;
21;ANZIO;LIDO DEI PINI;CAPANNINA MARE SRL;SB;Conc. N. 108/2009;STAB. CAPANNINA 3;1202,7;291,3;;;291,3;60;
22;ANZIO;ANZIO COLONIA;LIDO DEL CORSARO SAS;SB;Conc. N. 133/2010;STAB. LIDO DEL CORSARO;1420,62;415,58;;;415,58;80;
23;ANZIO;ANZIO CENTRO;DI RENZONI DANIELA;SB;Conc. N. 128/2010;STAB. RIVAZZURRA;5317,45;740,25;;;740,25;120;
24;ANZIO;LAVINIO;LA SIRENETTA SAS;SB;Conc. N. 147/2011;STAB. LA SIRENETTA;858,14;;137,86;;137,86;44;
25;ANZIO;ANZIO COLONIA;SEA GARDEN SAS;SB;Conc. N. 04/2012;STAB. LIDO GARDA;1439,34;43,75;81,95;102;227,7;327;
26;ANZIO;LAVINIO;GRILLO MORO SAS;SB;Conc. N. 02/2012;STAB. GRILLO MORO;4191,9;403,1;18;;421,1;132,7;
27;ANZIO;LAVINIO;LA CONCHIGLIA 1 DI BATTISTINI G. & C SAS;SB;Conc. N. 113/2010;STAB. LA CONCHIGLIA I;740;46;232;7;285;51,7;
28;ANZIO;LAVINIO;LA CONCHIGLIA SAS;SB;Conc. N. 114/2010;STAB. LA CONCHIGLIA II;2570,4;4,6;185;;189,6;89,14;
29;ANZIO;LAVINIO;LA RISTORAZIONE SAS;SB;Conc. N. 105/2009;STAB. LE PALME;1800,77;1150,91;;;1150,91;105;
30;ANZIO;LAVINIO;GUERRISI CONCETTO E CARMELA GELATI;SB;Conc. N. 117/2010;STAB. BAGNI LAVINIA;3071,92;368,59;;;368,59;86;
31;ANZIO;LAVINIO;IORI ALBERTO;SB;Conc. N. 111/2009;STAB. MIRAMARE;3201,23;447,21;1,56;;448,77;100;
32;ANZIO;LIDO MARECHIARO;MARIGLIANI PIERO;SB;Conc. N. 15/2013;STAB. SOLE E LUNA;557,8;422,2;;;422,2;50;
33;ANZIO;LIDO DEI PINI;MAGARI PIERO;SB;Conc. N. 13/2013;STAB. GALAPAGOS;4332;287;43;218;548;60;
34;ANZIO;LIDO DEI PINI;LA BOA SNC;SB;Conc. N. 106/2009;STAB. LA BOA;1913,71;417,6;1,13;;418,73;39,6;
35;ANZIO;ANZIO COLONIA;BLUE BAY SAS;SB;Conc. N. 104/2009;STAB. BLUE BAY;1218,44;301,29;;;301,29;80;
36;ANZIO;TOR MATERNO;PICCOLA CASA DIVINA PROVVIDENZA COTTOLENGO;SR;Conc. N. 110/2009;ISTITUTO COTTOLENGO;587,5;;35;;35;45;
37;ANZIO;ANZIO CENTRO;AZIENDA ASL RMH;SR;Conc. N. 06/2014;AZIENDA ASL RMH;1740,67;;159;;159;50;
38;ANZIO;LIDO DELLE SIRENE;MONTI GIULIANO;SB;Conc. N. 109/2009;STAB. LA PLAYA;1696,14;484,36;;;484,36;95;
39;ANZIO;ANZIO CENTRO;STELLA MARINA SRL;SB;Conc. N. 121/2010;STAB. LIDO DI NERONE;2086,2;97,8;25;258;380,8;79;
40;ANZIO;LIDO MARECHIARO;ISTITUTO STELLA MARIS;SR;Conc. N. 60/2003;ISTITUTO STELLA MARIS;2782;;;;;119,5;
41;ANZIO;CINCINNATO;CLUB NAUTICO L'APPRODO;ARS;Conc. N. 06/2012;CLUB NAUTICO L'APPRODO;2429,31;;816,3;;816,3;150;
42;ANZIO;TOR CARDARA;PICCOLI ENZO;SB;Conc. N. 116/2010;STAB. LA TORRE;1072,21;207,79;;;207,79;100;
43;ANZIO;ANZIO COLONIA;DAR MARINARO SNC;ER;Conc. N. 56/2002;DAR MARINARO SNC;;;;96;96;;
44;ANZIO;ANZIO CENTRO;STABILIMENTO BAGNI DEA FORTUNA SRL;SB;Conc. N. 123/2010;STABILIMENTO BAGNI DEA FORTUNA SRL;18123,94;330,65;687,65;81;1099,3;410;
45;ANZIO;LIDO MARECHIARO;SAINT TROPEZ SRL;SB;Conc. N. 102/2009;STAB. SAINT TROPEZ;1791,85;73,15;;;73,15;110;
46;ANZIO;ANZIO CENTRO;ONDINA SRL;PO;Conc. N. 01/2012;ONDINA;5066,11;51,96;635,17;161,09;848,22;55;
47;ANZIO;ANZIO CENTRO;L'OASI DI PONENTE SAS;SB;Conc. N. 137/2011;L'OASI DI PONENTE SAS;1241,3;66;106,7;55,8;228,5;50,9;
48;ANZIO;LAVINIO;SPALLOTTA MARISA;SB;Conc. N. 17/2013;STAB. IL PIONIERE;2269,95;37,52;302,3;166;505,82;106,5;
49;ANZIO;TOR MATERNO;AR.FER. SRL;SB;Conc. N. 04/2014;STAB. SCIALUPPA I;1791,67;379;;;379;150;
50;ANZIO;CINCINNATO;TOMEI ELIGIO SNC;SB;Conc. N. 103/2009;STAB. T-VILLAGE;944,42;99,58;;;99,58;150;
51;ANZIO;TOR CARDARA;CO.IN.AR SRL;SR;Conc. N. 146/2011;HOTEL LA PLAYA;714,25;;;;;95;
52;ANZIO;LIDO DEI PINI;CONSORZIO LIDO DEI PINI;SB;Conc. N. 10/2013;CONSORZIO LIDO DEI PINI;5559,13;970,52;426,33;145,84;1542,69;140;
53;ANZIO;LAVINIO;CO.IN.AR SRL;SB;Conc. N. 140/2011;HOTEL BELVEDERE;1312,5;;153,5;;153,5;116,5;
54;ANZIO;LIDO DEI PINI;ANFE (ENTE MORALE);SR;Conc. N. 119/2010;ANFE (ENTE MORALE);837,97;;714,88;;714,88;30,53;
55;ANZIO;ANZIO CENTRO;BROCHETTA MARINA;ER;Conc. N. 16/2013;BRONCHETTA MARINA;21,5;21,5;;;21,5;;
56;ANZIO;ANZIO CENTRO;BAIA DI PONENTE SRL;ER;Conc. N. 08/2014;BAIA DI PONENTE SRL;;79;7,5;258;344,5;;
57;ANZIO;PORTO INNOCENZIANO;SOC. ASTICIOTTO SRL;ER;Conc. N. 64/2003;SOC. ASTICIOTTO SRL;1,94;30;;106,34;136,34;;
58;ANZIO;PORTICCIOLO PAMPHILI, SNC;COOP. ORMEGGIATORI S. ANTONIO E COOPERATIVA ORMEGGIATORI PICCOLA PESCA;PO;Conc. N. 38/2003;COOP. ORMEGGIATORI S. ANTONIO E COOPERATIVA ORMEGGIATORI PICCOLA PESCA;;;980;;980;;17317
59;ANZIO;PORTICCIOLO PAMPHILI, 66;CIRCOLO VELICO ANZIO LAVINIO;ARS;Conc. N. 144/2011;CIRCOLO VELICO ANZIO LAVINIO;103,91;448,1;47,99;;496,09;;1500
60;ANZIO;PORTICCIOLO PAMPHILI;COOP. PICCOLA PESCA SRL;PO;Conc. N. 25/2003;COOP. PICCOLA PESCA SRL;;100;;;100;;2762
61;ANZIO;ANZIO - PIAZZA SAN ANTONIO, 6;SOC. ALCESTE AL BUON GUSTO DI REGOLANTI IGINO E MARIA ELENA SAS;ER;Conc. N. 07/2007;SOC. ALCESTE AL BUON GUSTO DI REGOLANTI IGINO E MARIA ELENA SAS;;;;225;225;;
62;ANZIO;ANZIO - VIA PORTO INNOCENZIANO, 31;D'ARPA GIROLAMA;ER;Conc. N. 15/2005;D'ARPA GIROLAMA;;26;;;26;;
63;ANZIO;MOLO INNOCENZIANO;DAL PESCATORE SRL;ER;Conc. N. 137/bis/2011;DAL PESCATORE SRL;;32,26;;;32,26;;
64;ANZIO;PORTICCIOLO PAMPHILI;FONTANA ELISABETTA;ER;Conc. N. 139/2011;FONTANA ELISABETTA;;51,14;;;51,14;;
65;ANZIO;CORSO DEL POPOLO;SOC. ERMELINDA IMMOBILIARE SRL;ER;Conc. N. 04/2013;;;;;62;62;;
66;ANZIO;PORTICCIOLO PAMPHILI;LEGA NAVALE ITALIANA SEZIONE ANZIO;PO;Conc. N. 60/2003;LEGA NAVALE ITALIANA SEZIONE ANZIO;634;;1636;;1636;;156
67;ANZIO;ANZIO - PIAZZALE MARINAI D'ITALIA;MARTUCCI SONIA;ER;Conc. N. 149/2011;MARTUCCI SONIA;106,3;49,7;;;49,7;;
68;ANZIO;MOLO INNOCENZIANO;VALERIO GIULIANO E VALERIO AUGUSTO;ER;Conc. N. 53/2003;VALERIO GIULIANO E VALERIO AUGUSTO;;;17,68;69,16;86,84;;
69;ANZIO;PORTICCIOLO PAMPHILI, 64;CIRCOLO DELLA VELA DI ROMA - SEZIONE DI ANZIO;PO;Conc. N. 143/2011;CIRCOLO DELLA VELA DI ROMA - SEZIONE DI ANZIO;1275;;1380;;1380;;610
70;ANZIO;VIA PORTO INNOCENZIANO, 37;SOC. BARRAMUNDI SRL;ER;Conc. N. 11/2013;RISTORANTE DEI GRAZIOSI AL PORTO DI L. E M. GRAZIOSI SNC;;55,2;;;55,2;;
71;ANZIO;MOLO INNOCENZIANO;DI GIROLAMO VALERIANA;ER;Conc. N. 03/2006;DI GIROLAMO VALERIANA;;40;;;40;;
72;ANZIO;PORTO DI ANZIO;COOPERATIVA ORMEGGIATORI S. ANTONIO;PO;Conc. N. 37/2003;COOPERATIVA ORMEGGIATORI S. ANTONIO;;109,5;;;109,5;;6111,5
73;ANZIO;PORTICCIOLO PAMPHILI;ASSOCIAZIONE MARINAI D'ITALIA;ARS;Conc. N. 142/2011;ASSOCIAZIONE MARINAI D'ITALIA;;;319;;319;;
74;ANZIO;PORTICCIOLO PAMPHILI;COPPOLA VINCENZO;PO;Conc. N. 11/2012;COPPOLA VINCENZO;51;16;35;;51;;404
75;ANZIO;CORSO DEL POPOLO;CLAUDIO MELIS;ER;Conc. N. 136/2010;CLAUDIO MELIS;;;;67;67;;
76;ANZIO;RIVIERA ZANARDELLI;CAPOBIANCO MASSIMO;ER;Conc. N. 01/2008;CAPOBIANCO MASSIMO;79,39;53,24;;;53,24;;
1;ARDEA;MARINA DI ARDEA;CEROLINI PAOLO;PO;Conc. N. TR/6C/2010;RIMESSAGGIO IMBARCAZIONI  DI CEROLINI PAOLO;1400;;;;;35;
2;ARDEA;MARINA DI ARDEA;ISTITUTO DELLE FIGLIE DI SANTA MARIA DELLA DIVINA PROVVIDENZA;SR;Conc. N. TR/1I/2010;COLONIA MARINA;2250;;;;;50;
3;ARDEA;MARINA DI ARDEA;LA CANNUCCIA SNC;ER;Conc. N. TR/19S/2010;LA CANNUCCIA;2752;3;115;;118;40;
4;ARDEA;MARINA DI ARDEA;CIRCOLO NAUTICO CARAVALLEBECIO;PO;Conc. N. TR/8C/2010;CIRCOLO NAUTICO CARAVALLEBECIO;960;;;;;24;
5;ARDEA;MARINA DI ARDEA;TIRRENO;SB;Conc. N. TR/3M/2010;STABILIMENTO BALNEARE B.PALACE;3129;;491,2;;491,2;75;
6;ARDEA;MARINA DI ARDEA;CASA SANTA RITA;SR;Conc. N. TR/3C/2010;CASA SANTA RITA;937,2;12,8;;;12,8;50;
7;ARDEA;MARINA DI ARDEA;SAYONARA;SB;Conc. N. TR/1B/2010;STABILIMENTO BALNEARE SAYONARA;2444;332;224;;556;100;
8;ARDEA;MARINA DI ARDEA;SARRECCHIA DIEGO;NIAB;Conc. N. TR/2S/2010;NOLO PEDALO' DI SARRECCHIA DIEGO;75;;;;;4;
9;ARDEA;MARINA DI ARDEA;PISCITELLI ANTONIO;ER;Conc. N. TR/9P/2010;STAB. ULTIMA SPIAGGIA;450;211;;;211;156;
10;ARDEA;MARINA DI ARDEA;PISCITELLI ANTONIO;NIAB;Conc. N. TR/7P/2010;PISCITELLI ANTONIO;64;34;67;;101;40;
11;ARDEA;MARINA DI ARDEA;CIRCOLO NAUTICO TOR SAN LORENZO PRESIDENTE CAPPABIANCA ANDREA;PO;Conc. N. TR/4F/2010;CIRC. NAUTICO TOR SAN LORENZO;386;;;;;8;
12;ARDEA;TOR SAN LORENZO;CONSORZIO SABBIE D'ORO;SA;Conc. N. TR/27S/2010;CONSORZIO SABBIE D'ORO;1374;;126;;126;100;
13;ARDEA;TOR SAN LORENZO;CALYPSO;SB;Conc. N. TR/21S/2010;STAB. BALNEARE IL CALYPSO;6181;;369;;369;15;
14;ARDEA;TOR SAN LORENZO;TIMIAMA;ER;Conc. N. TR/3S/2010;"BAR ""LA SPIAGGIA""DI CARBONE ROBERTA";;;95,48;;95,48;;
15;ARDEA;TOR SAN LORENZO;BAGNI STELLA;SA;Conc. N. TR/10P/2010;STAB. BALNEARE BAGNI STELLA;5967,5;32,4;;;32,4;60;
16;ARDEA;TOR SAN LORENZO;ISTITUTO PIA SOCIETA' FIGLIE DI SAN PAOLO;SA;Conc. N. TR/2I/2010;ISTITUTO PIA SOCIETA' FIGLIE DI SAN PAOLO;3000;;;;;60;
17;ARDEA;TOR SAN LORENZO;CONGREGAZIONE DI GESU' BUON PASTORE;SR;Conc. N. TR/13C/2010;CONGREGAZIONE DI GESU' BUON PASTORE;800;;;;;40;
18;ARDEA;TOR SAN LORENZO;CIAK MOLL;ER;Conc. N. TR/16S/2010;STAB. CIAK MOLL;2912;46;;;46;35;
19;ARDEA;TOR SAN LORENZO;MENE' EX BAGNI SPORTING;SB;Conc. N. TR/3F/2010;STAB. BALNERAE MENE';3468;132;;;132;60;
20;ARDEA;TOR SAN LORENZO;LA PICCOLA CAPRI - SOC. FLORA MARINA;SB;Conc. N. TR/24S/2010;STAB. BALNEARE PICCOLA CAPRI;5160;;480;;480;180;
21;ARDEA;TOR SAN LORENZO;ROMA;SB;Conc. N. TR/26S/2010;STAB. BALNEARE ROMA;5875;;600;;600;117,5;
22;ARDEA;TOR SAN LORENZO;ROMA;SA;Conc. N. TR/27S/2010;STAB. BALNEARE ROMA 2;1143;57;;;57;30;
23;ARDEA;TOR SAN LORENZO;ASSOCIAZIONE CATTOLICA PARROCCHIA SAN GREGORIO MAGNO;SR;Conc. N. TR/7B/2010;ASSOCIAZIONE CATTOLICA PARROCCHIOA SAN GREGORIO MAGNO;937;;66;;66;20;
24;ARDEA;TOR SAN LORENZO;SOC. GIOKA SRL;ER;Conc. N. TR/22S/2010;STAB. BALNEARE NAUTILUS;320;;100;;100;20;
25;ARDEA;TOR SAN LORENZO;SOC. GIOKA SRL;SA;Conc. N. TR/23S/2010;STAB. BALNEARE NAUTILUS;1500;;;;;100;
26;ARDEA;TOR SAN LORENZO;HALE BOPP BAR;ER;Conc. N. TR/2L/2010;BAR WAIKIKI;54;38;;;38;;
27;ARDEA;TOR SAN LORENZO;CONSORZIO LIDO DEI CORALLI;SA;Conc. N. TR/15C/2010;CONSORZIO LIDO DEI CORALLI;4200;200;;;200;100;
28;ARDEA;TOR SAN LORENZO;CONSORZIO CENTRO VACANZE MARINA PICCOLA;SA;Conc. N. TR/5C/2010;CONSORZIO CENTRO VACANZE MARINA PICCOLA;5082,9;;1017,1;;1017,1;142;
29;ARDEA;TOR SAN LORENZO;CONSORZIO VILLAGGIO VELA BIANCA;SA;Conc. N. TR/17C/2010;CONSORZIO VILLAGGIO VELA BIANCA;6500;;;;;129;
30;ARDEA;TOR SAN LORENZO;LA VENERE IN BIKINI;SB;Conc. N. TR/18S/2010;STABIL. BALNEARE LA VENERE IN BIKINI;2325,13;48;905,87;;953,87;67;
31;ARDEA;LIDO TOR SAN LORENZO;BAR DEL LIDO;ER;Conc. N. TR/7B/2010;BAR DEL LIDO;;;133;;133;9,4;
32;ARDEA;LIDO TOR SAN LORENZO;BAR LA CARAVELLA;ER;Conc. N. TR/6B/2010;BAR LA CARAVELLA;;;173,5;;173,5;;
33;ARDEA;LIDO TOR SAN LORENZO;GALASSO GIANFRANCO;PO;Conc. N. AN/8G/2010;RIMESSAGGIO IMBARCAZIONI DI GALASSO GIANFRANCO;1530;;;;;51;
34;ARDEA;LIDO TOR SAN LORENZO;TORRE MARINA;SB;Conc. N. AN/49S/2010;STAB. BALNEARE TORRE MARINA;4424;142;92;;234;150;
35;ARDEA;MARINA TOR SAN LORENZO;ZOMPATORI GIOVANNI;SA;Conc. N. AN/11S/2010;ZOMPATORI GIOVANNI;1500;;;;;100;
36;ARDEA;COLLE ROMITO;PLAYA DEL SOL;SA;Conc. N. AN/7P/2010;STAB. BALNEAREB PLAYA DEL SOL;2956;44;;;44;100;
37;ARDEA;COLLE ROMITO;SOCIETA' ESSE 4;ER;Conc. N. AN/44S/2010;BAR RANOCCHIO;277,37;;71,87;;71,87;30;
38;ARDEA;LIDO DEI PINI;MOGAMBO;SB;Conc. N. AN/52S/2010;STAB. BALNEARE MOGAMBO;10261;;739;;739;150;
39;ARDEA;LIDO DEI PINI;CONSORZIO LIDO DEI PINI - LUPETTA;SB;Conc. N. AN/8C/2010;CONSORZIO LIDO DEI PINI - LUPETTA;8232;59;;;59;86,5;
40;ARDEA;LIDO DEI PINI;TROCADERO;SB;Conc. N. AN/50S/2010;STAB. BALNEARE TROCADERO;8379;74;;;74;137;
41;ARDEA;LIDO TOR SAN LORRENZO;TUCANO BEACH DI TOPA ROBERTO;SA;Conc. N. TR/1T/2010;STAB. BALNEARE IL TUCANO BEACH;1300;133,9;;;133,9;60;
42;ARDEA;LIDO TOR SAN LORENZO;"BAR RISTORANTE ""PEPPE IL PESCATORE""";ER;Conc. N. TR/90P/2010;"BAR RISTORANTE ""PEPPE IL PESCATORE""";1500;440;;;440;60;
43;ARDEA;MARINA DI ARDEA;ROSA DEI VENTI;ER;Conc. N. TR/73B/2010;ROSA DEI VENTI;340;;280;;280;40;
1;CERVETERI;CAMPO DI MARE;ZANZIBAR SRL;SB;Conc. N. 19/2009;SIX BEACH HOUSE;780,6;28,36;52,86;146,18;227,4;60,73;
2;CERVETERI;CAMPO DI MARE;OCEAN SURF BEACH SAS;SB;Conc. N. 18/2008;OCEAN SURF;878,04;1,96;;;1,96;40;1000
