"comune";"provincia";"anno";"totale";"attivazioni";"cessazioni";"subingressi"
"Acquafondata";"Frosinone";"2013";"0";"0";"0";"0"
"Acuto";"Frosinone";"2013";"1";"1";"0";"0"
"Alatri";"Frosinone";"2013";"9";"1";"2";"0"
"Alvito";"Frosinone";"2013";"1";"0";"0";"0"
"Amaseno";"Frosinone";"2013";"1";"0";"0";"0"
"Anagni";"Frosinone";"2013";"18";"4";"1";"0"
"Aquino";"Frosinone";"2013";"1";"1";"1";"0"
"Arce";"Frosinone";"2013";"7";"0";"0";"0"
"Arnara";"Frosinone";"2013";"0";"0";"0";"0"
"Arpino";"Frosinone";"2013";"3";"0";"0";"0"
"Atina";"Frosinone";"2013";"6";"0";"0";"0"
"Ausonia";"Frosinone";"2013";"2";"0";"0";"0"
"Belmonte Castello";"Frosinone";"2013";"0";"0";"0";"0"
"Boville Ernica";"Frosinone";"2013";"3";"0";"0";"0"
"Broccostella";"Frosinone";"2013";"2";"2";"0";"0"
"Campoli Appennino";"Frosinone";"2013";"1";"0";"1";"0"
"Casalattico";"Frosinone";"2013";"0";"0";"0";"0"
"Casalvieri";"Frosinone";"2013";"1";"0";"0";"0"
"Cassino";"Frosinone";"2013";"17";"2";"2";"0"
"Castelliri";"Frosinone";"2013";"0";"0";"0";"0"
"Castelnuovo Parano";"Frosinone";"2013";"0";"0";"0";"0"
"Castro dei Volsci";"Frosinone";"2013";"0";"0";"0";"0"
"Castrocielo";"Frosinone";"2013";"2";"0";"0";"0"
"Ceccano";"Frosinone";"2013";"5";"0";"0";"0"
"Ceprano";"Frosinone";"2013";"6";"0";"0";"0"
"Cervaro";"Frosinone";"2013";"4";"0";"0";"0"
"Colfelice";"Frosinone";"2013";"0";"0";"0";"0"
"Colle San Magno";"Frosinone";"2013";"0";"0";"0";"0"
"Collepardo";"Frosinone";"2013";"0";"0";"0";"0"
"Coreno Ausonio";"Frosinone";"2013";"0";"0";"0";"0"
"Esperia";"Frosinone";"2013";"1";"0";"0";"0"
"Falvaterra";"Frosinone";"2013";"0";"0";"0";"0"
"Ferentino";"Frosinone";"2013";"5";"1";"2";"0"
"Filettino";"Frosinone";"2013";"0";"0";"0";"0"
"Fiuggi";"Frosinone";"2013";"3";"0";"0";"0"
"Fontana Liri";"Frosinone";"2013";"0";"0";"0";"0"
"Fontechiari";"Frosinone";"2013";"0";"0";"0";"0"
"Frosinone";"Frosinone";"2013";"36";"8";"2";"0"
"Fumone";"Frosinone";"2013";"1";"1";"1";"0"
"Gallinaro";"Frosinone";"2013";"1";"0";"0";"0"
"Giuliano di Roma";"Frosinone";"2013";"1";"0";"1";"0"
"Guarcino";"Frosinone";"2013";"0";"0";"1";"0"
"Isola del Liri";"Frosinone";"2013";"11";"1";"1";"0"
"Monte San Giovanni Campano";"Frosinone";"2013";"10";"2";"0";"0"
"Morolo";"Frosinone";"2013";"1";"0";"0";"0"
"Paliano";"Frosinone";"2013";"2";"0";"0";"0"
"Pastena";"Frosinone";"2013";"1";"0";"0";"0"
"Patrica";"Frosinone";"2013";"6";"3";"0";"0"
"Pescosolido";"Frosinone";"2013";"0";"0";"0";"0"
"Picinisco";"Frosinone";"2013";"0";"0";"0";"0"
"Pico";"Frosinone";"2013";"1";"1";"0";"0"
"Piedimonte San Germano";"Frosinone";"2013";"3";"1";"0";"0"
"Piglio";"Frosinone";"2013";"3";"0";"0";"0"
"Pignataro Interamna";"Frosinone";"2013";"2";"0";"0";"0"
"Pofi";"Frosinone";"2013";"4";"0";"0";"0"
"Pontecorvo";"Frosinone";"2013";"5";"2";"2";"0"
"Posta Fibreno";"Frosinone";"2013";"0";"0";"0";"0"
"Ripi";"Frosinone";"2013";"1";"0";"0";"0"
"Rocca d'Arce";"Frosinone";"2013";"0";"0";"0";"0"
"Roccasecca";"Frosinone";"2013";"2";"0";"1";"0"
"San Biagio Saracinisco";"Frosinone";"2013";"0";"0";"0";"0"
"San Donato Val di Comino";"Frosinone";"2013";"1";"0";"0";"0"
"San Giorgio a Liri";"Frosinone";"2013";"1";"0";"0";"0"
"San Giovanni Incarico";"Frosinone";"2013";"5";"1";"0";"0"
"San Vittore del Lazio";"Frosinone";"2013";"3";"0";"0";"0"
"Sant'Ambrogio sul Garigliano";"Frosinone";"2013";"1";"0";"0";"0"
"Sant'Andrea del Garigliano";"Frosinone";"2013";"0";"0";"0";"0"
"Sant'Apollinare";"Frosinone";"2013";"1";"0";"0";"0"
"Sant'Elia Fiumerapido";"Frosinone";"2013";"1";"0";"0";"0"
"Santopadre";"Frosinone";"2013";"1";"0";"0";"0"
"Serrone";"Frosinone";"2013";"3";"0";"0";"0"
"Settefrati";"Frosinone";"2013";"0";"0";"0";"0"
"Sgurgola";"Frosinone";"2013";"0";"0";"0";"0"
"Sora";"Frosinone";"2013";"12";"2";"0";"0"
"Strangolagalli";"Frosinone";"2013";"2";"0";"1";"0"
"Supino";"Frosinone";"2013";"1";"0";"0";"0"
"Terelle";"Frosinone";"2013";"0";"0";"0";"0"
"Torre Cajetani";"Frosinone";"2013";"2";"0";"0";"0"
"Torrice";"Frosinone";"2013";"0";"0";"0";"0"
"Trevi nel Lazio";"Frosinone";"2013";"0";"0";"0";"0"
"Trivigliano";"Frosinone";"2013";"0";"0";"0";"0"
"Vallecorsa";"Frosinone";"2013";"0";"0";"0";"0"
"Vallemaio";"Frosinone";"2013";"0";"0";"0";"0"
"Vallerotonda";"Frosinone";"2013";"0";"0";"0";"0"
"Veroli";"Frosinone";"2013";"6";"1";"0";"0"
"Vicalvi";"Frosinone";"2013";"0";"0";"0";"0"
"Vico nel Lazio";"Frosinone";"2013";"0";"0";"0";"0"
"Villa Latina";"Frosinone";"2013";"0";"0";"0";"0"
"Villa Santa Lucia";"Frosinone";"2013";"2";"0";"0";"0"
"Villa Santo Stefano";"Frosinone";"2013";"0";"0";"0";"0"
"Viticuso";"Frosinone";"2013";"0";"0";"0";"0"
"Aprilia";"Latina";"2013";"20";"3";"0";"0"
"Bassiano";"Latina";"2013";"0";"0";"0";"0"
"Campodimele";"Latina";"2013";"1";"0";"0";"0"
"Castelforte";"Latina";"2013";"0";"0";"0";"0"
"Cisterna di Latina";"Latina";"2013";"8";"0";"0";"0"
"Cori";"Latina";"2013";"5";"1";"0";"0"
"Fondi";"Latina";"2013";"13";"1";"5";"0"
"Formia";"Latina";"2013";"13";"0";"0";"0"
"Gaeta";"Latina";"2013";"7";"0";"0";"0"
"Itri";"Latina";"2013";"2";"0";"0";"0"
"Latina";"Latina";"2013";"58";"5";"4";"0"
"Lenola";"Latina";"2013";"3";"1";"0";"0"
"Maenza";"Latina";"2013";"0";"0";"0";"0"
"Minturno";"Latina";"2013";"5";"0";"0";"0"
"Monte San Biagio";"Latina";"2013";"0";"0";"0";"0"
"Norma";"Latina";"2013";"0";"0";"0";"0"
"Pontinia";"Latina";"2013";"7";"1";"1";"0"
"Ponza";"Latina";"2013";"1";"0";"0";"0"
"Priverno";"Latina";"2013";"4";"2";"0";"0"
"Prossedi";"Latina";"2013";"2";"0";"0";"0"
"Rocca Massima";"Latina";"2013";"0";"0";"0";"0"
"Roccagorga";"Latina";"2013";"0";"0";"0";"0"
"Roccasecca dei Volsci";"Latina";"2013";"1";"0";"0";"0"
"Sabaudia";"Latina";"2013";"11";"0";"1";"0"
"San Felice Circeo";"Latina";"2013";"3";"0";"0";"0"
"Santi Cosma e Damiano";"Latina";"2013";"3";"0";"0";"0"
"Sermoneta";"Latina";"2013";"1";"0";"0";"0"
"Sezze";"Latina";"2013";"9";"1";"2";"0"
"Sonnino";"Latina";"2013";"4";"0";"0";"0"
"Sperlonga";"Latina";"2013";"3";"0";"0";"0"
"Spigno Saturnia";"Latina";"2013";"2";"0";"0";"0"
"Terracina";"Latina";"2013";"10";"3";"0";"0"
"Ventotene";"Latina";"2013";"1";"0";"0";"0"
"Accumoli";"Rieti";"2013";"1";"0";"0";"0"
"Amatrice";"Rieti";"2013";"0";"0";"1";"0"
"Antrodoco";"Rieti";"2013";"0";"0";"0";"0"
"Ascrea";"Rieti";"2013";"0";"0";"0";"0"
"Belmonte in Sabina";"Rieti";"2013";"0";"0";"0";"0"
"Borbona";"Rieti";"2013";"0";"0";"0";"0"
"Borgo Velino";"Rieti";"2013";"0";"0";"0";"0"
"Borgorose";"Rieti";"2013";"2";"0";"0";"0"
"Cantalice";"Rieti";"2013";"0";"0";"0";"0"
"Cantalupo in Sabina";"Rieti";"2013";"0";"0";"0";"0"
"Casaprota";"Rieti";"2013";"0";"0";"0";"0"
"Casperia";"Rieti";"2013";"0";"0";"0";"0"
"Castel di Tora";"Rieti";"2013";"0";"0";"0";"0"
"Castel Sant'Angelo";"Rieti";"2013";"0";"0";"0";"0"
"Castelnuovo di Farfa";"Rieti";"2013";"0";"0";"0";"0"
"Cittaducale";"Rieti";"2013";"3";"0";"0";"0"
"Cittareale";"Rieti";"2013";"1";"0";"0";"0"
"Collalto Sabino";"Rieti";"2013";"0";"0";"0";"0"
"Colle di Tora";"Rieti";"2013";"0";"0";"0";"0"
"Collegiove";"Rieti";"2013";"0";"0";"0";"0"
"Collevecchio";"Rieti";"2013";"2";"1";"0";"0"
"Colli sul Velino";"Rieti";"2013";"0";"0";"0";"0"
"Concerviano";"Rieti";"2013";"0";"0";"0";"0"
"Configni";"Rieti";"2013";"1";"0";"0";"0"
"Contigliano";"Rieti";"2013";"1";"0";"0";"0"
"Cottanello";"Rieti";"2013";"3";"0";"0";"0"
"Fara in Sabina";"Rieti";"2013";"4";"1";"0";"0"
"Fiamignano";"Rieti";"2013";"0";"0";"0";"0"
"Forano";"Rieti";"2013";"0";"0";"1";"0"
